Time/Date	degC	psi
38118.454861	5.84	86
38118.475694	5.84	86
38118.496528	5.84	86.52
38118.517361	5.84	86.52
38118.538194	5.65	86.52
38118.559028	5.65	86.52
38118.579861	5.65	86.52
38118.600694	5.65	86.52
38118.621528	5.65	86.52
38118.642361	5.65	86.52
38118.663194	5.65	86.52
38118.684028	5.65	85.99
38118.704861	5.65	85.99
38118.725694	5.65	85.99
38118.746528	5.65	85.99
38118.767361	5.65	85.99
38118.788194	5.65	85.99
38118.809028	5.65	85.99
38118.829861	5.65	85.99
38118.850694	5.65	85.99
38118.871528	5.65	85.99
38118.892361	5.65	85.99
38118.913194	5.65	87.57
38118.934028	5.65	87.57
38118.954861	5.65	87.57
38118.975694	5.65	88.1
38118.996528	5.65	88.1
38119.017361	5.65	88.1
38119.038194	5.65	88.1
38119.059028	5.65	88.1
38119.079861	5.65	88.1
38119.100694	5.65	78.61
38119.121528	5.65	77.56
38119.142361	5.65	77.56
38119.163194	5.65	77.56
38119.184028	5.65	77.56
38119.204861	5.65	77.56
38119.225694	5.65	77.56
38119.246528	5.65	77.03
38119.267361	5.65	77.03
38119.288194	5.65	77.03
38119.309028	5.65	77.03
38119.329861	5.65	77.03
38119.350694	5.84	77.03
38119.371528	5.84	76.51
38119.392361	5.84	77.03
38119.413194	5.84	77.03
38119.434028	6.03	77.04
38119.454861	6.03	77.04
38119.475694	6.03	77.04
38119.496528	6.03	77.04
38119.517361	6.03	77.57
38119.538194	6.03	77.57
38119.559028	6.03	77.57
38119.579861	6.03	77.57
38119.600694	5.84	77.56
38119.621528	5.84	77.56
38119.642361	5.84	77.56
38119.663194	5.84	77.56
38119.684028	5.84	77.56
38119.704861	5.65	77.03
38119.725694	5.65	77.03
38119.746528	5.65	77.03
38119.767361	5.65	77.03
38119.788194	5.65	77.03
38119.809028	5.65	77.03
38119.829861	5.84	75.45
38119.850694	5.84	68.6
38119.871528	5.84	89.69
38119.892361	5.84	75.45
38119.913194	5.84	71.24
38119.934028	5.84	71.76
38119.954861	5.84	62.8
38119.975694	5.84	59.64
38119.996528	5.84	73.87
38120.017361	5.84	89.16
38120.038194	5.84	60.16
38120.059028	5.84	51.73
38120.079861	5.84	63.33
38120.100694	5.84	57.53
38120.121528	5.84	49.62
38120.142361	5.84	50.67
38120.163194	5.65	78.08
38120.184028	5.65	82.83
38120.204861	5.65	82.83
38120.225694	5.65	82.83
38120.246528	5.65	82.3
38120.267361	5.65	82.3
38120.288194	5.65	82.3
38120.309028	5.65	82.3
38120.329861	5.65	82.3
38120.350694	5.65	81.77
38120.371528	5.84	81.78
38120.392361	5.84	81.78
38120.413194	5.84	81.78
38120.434028	5.84	81.78
38120.454861	5.84	81.78
38120.475694	5.84	82.31
38120.496528	6.03	82.31
38120.517361	6.03	82.31
38120.538194	6.03	82.31
38120.559028	6.22	82.32
38120.579861	6.22	82.32
38120.600694	6.22	82.85
38120.621528	6.22	82.85
38120.642361	6.03	82.84
38120.663194	6.03	83.37
38120.684028	6.03	83.37
38120.704861	6.03	83.37
38120.725694	6.03	82.84
38120.746528	6.03	82.84
38120.767361	6.03	82.84
38120.788194	6.03	82.84
38120.809028	6.03	75.46
38120.829861	6.03	71.77
38120.850694	6.03	81.79
38120.871528	6.03	82.31
38120.892361	6.03	72.29
38120.913194	6.03	68.07
38120.934028	6.03	69.13
38120.954861	6.03	63.86
38120.975694	6.03	64.91
38120.996528	6.03	60.69
38121.017361	6.03	65.44
38121.038194	6.03	62.27
38121.059028	6.03	62.27
38121.079861	6.03	60.16
38121.100694	6.03	55.94
38121.121528	6.03	55.42
38121.142361	5.84	70.18
38121.163194	5.84	72.82
38121.184028	5.84	83.89
38121.204861	5.84	84.42
38121.225694	5.84	83.89
38121.246528	5.84	83.89
38121.267361	5.84	83.89
38121.288194	5.84	83.89
38121.309028	5.84	83.89
38121.329861	5.84	83.89
38121.350694	5.84	83.89
38121.371528	5.84	83.36
38121.392361	5.84	83.36
38121.413194	5.84	83.36
38121.434028	5.84	83.36
38121.454861	5.84	83.36
38121.475694	5.84	83.36
38121.496528	5.84	83.36
38121.517361	5.84	83.89
38121.538194	6.03	83.9
38121.559028	6.03	83.9
38121.579861	6.03	83.9
38121.600694	6.03	83.9
38121.621528	6.03	83.9
38121.642361	6.03	83.9
38121.663194	6.03	84.42
38121.684028	6.03	84.42
38121.704861	6.03	84.42
38121.725694	6.03	83.9
38121.746528	6.03	83.9
38121.767361	6.03	83.9
38121.788194	6.03	83.9
38121.809028	6.03	83.9
38121.829861	6.03	83.9
38121.850694	6.03	83.9
38121.871528	6.03	83.37
38121.892361	6.03	83.37
38121.913194	6.03	83.37
38121.934028	6.03	83.37
38121.954861	6.03	83.37
38121.975694	6.03	83.37
38121.996528	6.03	83.37
38122.017361	6.03	83.37
38122.038194	6.03	73.88
38122.059028	6.03	81.79
38122.079861	6.03	72.29
38122.100694	6.22	61.22
38122.121528	6.03	68.6
38122.142361	6.22	59.64
38122.163194	6.03	69.66
38122.184028	6.03	78.62
38122.204861	6.03	78.62
38122.225694	6.03	78.62
38122.246528	6.03	78.62
38122.267361	6.03	78.1
38122.288194	6.03	78.1
38122.309028	6.03	78.1
38122.329861	6.03	78.1
38122.350694	6.03	78.1
38122.371528	6.03	78.1
38122.392361	6.03	78.1
38122.413194	6.03	77.57
38122.434028	6.03	77.57
38122.454861	6.03	77.57
38122.475694	6.03	77.57
38122.496528	6.03	77.57
38122.517361	6.03	77.57
38122.538194	6.03	77.57
38122.559028	6.03	77.57
38122.579861	6.03	78.1
38122.600694	6.03	78.1
38122.621528	6.22	78.1
38122.642361	6.22	78.1
38122.663194	6.22	78.1
38122.684028	6.22	78.63
38122.704861	6.03	78.62
38122.725694	6.03	78.62
38122.746528	6.03	78.62
38122.767361	6.03	78.62
38122.788194	6.03	78.62
38122.809028	6.03	78.1
38122.829861	6.03	78.1
38122.850694	6.03	78.1
38122.871528	6.03	78.1
38122.892361	6.03	78.1
38122.913194	6.03	77.57
38122.934028	6.03	77.57
38122.954861	6.03	77.57
38122.975694	6.03	77.57
38122.996528	6.03	77.57
38123.017361	6.03	77.57
38123.038194	6.03	77.57
38123.059028	6.03	77.57
38123.079861	6.03	77.57
38123.100694	6.03	77.57
38123.121528	6.03	70.18
38123.142361	6.03	69.66
38123.163194	6.03	73.88
38123.184028	6.03	79.15
38123.204861	6.03	79.15
38123.225694	6.03	79.15
38123.246528	6.03	79.15
38123.267361	6.03	79.15
38123.288194	6.03	79.15
38123.309028	6.03	79.15
38123.329861	6.03	78.62
38123.350694	6.03	78.62
38123.371528	6.03	78.62
38123.392361	6.03	78.1
38123.413194	5.84	78.09
38123.434028	5.84	78.09
38123.454861	5.84	78.09
38123.475694	5.84	78.09
38123.496528	5.84	78.09
38123.517361	5.84	78.09
38123.538194	5.84	78.62
38123.559028	5.84	78.09
38123.579861	6.03	78.1
38123.600694	6.03	78.1
38123.621528	6.03	78.62
38123.642361	6.03	78.1
38123.663194	6.03	78.62
38123.684028	6.03	78.1
38123.704861	6.03	78.1
38123.725694	6.03	78.1
38123.746528	6.03	78.1
38123.767361	6.03	78.1
38123.788194	6.03	61.75
38123.809028	6.03	78.1
38123.829861	6.03	78.1
38123.850694	6.03	69.13
38123.871528	6.03	61.75
38123.892361	6.03	60.16
38123.913194	6.03	78.1
38123.934028	6.03	78.1
38123.954861	6.03	77.57
38123.965278	6.03	78.1
38123.975694	6.03	77.57
38123.986111	6.03	77.57
38123.996528	6.03	77.57
38124.006944	6.03	77.57
38124.017361	6.03	77.57
38124.027778	6.03	77.57
38124.038194	6.03	77.57
38124.048611	6.03	77.57
38124.059028	6.03	77.57
38124.069444	6.03	77.57
38124.079861	6.03	77.57
38124.090278	6.03	77.57
38124.100694	6.03	77.57
38124.111111	6.03	77.57
38124.121528	6.03	77.57
38124.131944	6.03	74.93
38124.142361	6.03	67.02
38124.152778	6.03	64.38
38124.163194	6.03	79.68
38124.173611	6.03	79.68
38124.184028	6.03	79.68
38124.194444	6.22	79.68
38124.204861	6.22	79.68
38124.215278	6.22	79.68
38124.225694	6.22	79.68
38124.236111	6.22	79.68
38124.246528	6.22	80.21
38124.256944	6.22	79.68
38124.267361	6.22	79.68
38124.277778	6.22	80.21
38124.288194	6.22	79.68
38124.298611	6.22	79.68
38124.309028	6.22	79.68
38124.319444	6.22	79.68
38124.329861	6.22	79.68
38124.340278	6.22	79.68
38124.350694	6.22	79.68
38124.361111	6.22	79.68
38124.371528	6.22	79.68
38124.381944	6.22	79.68
38124.392361	6.22	79.68
38124.402778	6.22	79.68
38124.413194	6.22	79.68
38124.423611	6.22	79.68
38124.434028	6.03	79.68
38124.444444	6.03	79.68
38124.454861	6.03	79.68
38124.465278	6.03	79.68
38124.475694	6.03	79.15
38124.486111	6.03	79.15
38124.496528	6.03	79.15
38124.506944	6.03	79.15
38124.517361	6.03	79.15
38124.527778	6.22	79.16
38124.538194	6.22	79.16
38124.548611	6.22	79.16
38124.559028	6.22	79.16
38124.569444	6.22	79.16
38124.579861	6.22	79.16
38124.590278	6.22	79.16
38124.600694	6.22	79.16
38124.611111	6.22	79.16
38124.621528	6.22	79.16
38124.631944	6.22	79.68
38124.642361	6.22	79.68
38124.652778	6.41	79.69
38124.663194	6.41	79.69
38124.673611	6.41	79.69
38124.684028	6.41	79.69
38124.694444	6.41	79.69
38124.704861	6.41	79.69
38124.715278	6.41	79.69
38124.725694	6.41	79.69
38124.736111	6.41	79.69
38124.746528	6.41	79.69
38124.756944	6.41	79.69
38124.767361	6.41	79.69
38124.777778	6.22	79.68
38124.788194	6.22	79.68
38124.798611	6.22	79.68
38124.809028	6.22	79.68
38124.819444	6.22	79.68
38124.829861	6.22	71.24
38124.840278	6.22	69.66
38124.850694	6.22	64.91
38124.861111	6.22	64.91
38124.871528	6.22	66.49
38124.881944	6.22	71.24
38124.892361	6.22	74.94
38124.902778	6.22	78.1
38124.913194	6.22	78.1
38124.923611	6.22	78.1
38124.934028	6.22	78.1
38124.944444	6.22	78.1
38124.954861	6.22	77.57
38124.965278	6.22	77.57
38124.975694	6.41	78.11
38124.986111	6.41	77.58
38124.996528	6.41	77.58
38125.006944	6.41	77.58
38125.017361	6.41	77.05
38125.027778	6.41	77.58
38125.038194	6.41	77.58
38125.048611	6.22	77.57
38125.059028	6.41	63.86
38125.069444	6.22	65.44
38125.079861	6.22	67.02
38125.090278	6.22	69.66
38125.100694	6.22	68.08
38125.111111	6.22	70.72
38125.121528	6.22	69.13
38125.131944	6.22	68.08
38125.142361	6.22	62.8
38125.152778	6.22	70.19
38125.163194	6.22	80.74
38125.173611	6.22	80.74
38125.184028	6.22	80.74
38125.194444	6.41	80.75
38125.204861	6.41	80.75
38125.215278	6.41	80.75
38125.225694	6.41	80.75
38125.236111	6.41	80.75
38125.246528	6.41	80.75
38125.256944	6.41	80.75
38125.267361	6.41	80.75
38125.277778	6.41	80.75
38125.288194	6.41	80.75
38125.298611	6.41	80.75
38125.309028	6.41	80.75
38125.319444	6.41	80.75
38125.329861	6.41	80.75
38125.340278	6.41	80.75
38125.350694	6.41	80.75
38125.361111	6.41	80.75
38125.371528	6.41	80.75
38125.381944	6.22	80.74
38125.392361	6.22	80.74
38125.402778	6.22	80.74
38125.413194	6.22	80.74
38125.423611	6.22	80.21
38125.434028	6.22	80.21
38125.444444	6.22	80.21
38125.454861	6.22	80.21
38125.465278	6.22	80.21
38125.475694	6.22	80.21
38125.486111	6.22	79.68
38125.496528	6.22	80.21
38125.506944	6.22	79.68
38125.517361	6.22	79.68
38125.527778	6.22	79.68
38125.538194	6.22	79.68
38125.548611	6.22	80.21
38125.559028	6.22	80.21
38125.569444	6.22	80.21
38125.579861	6.22	80.21
38125.590278	6.22	80.21
38125.600694	6.22	80.21
38125.611111	6.22	80.21
38125.621528	6.22	80.21
38125.631944	6.22	80.21
38125.642361	6.22	80.21
38125.652778	6.22	80.21
38125.663194	6.22	80.21
38125.673611	6.22	80.21
38125.684028	6.22	80.21
38125.694444	6.22	80.74
38125.704861	6.22	80.74
38125.715278	6.22	80.74
38125.725694	6.22	80.74
38125.736111	6.22	80.74
38125.746528	6.22	80.74
38125.756944	6.22	80.74
38125.767361	6.22	80.74
38125.777778	6.22	80.74
38125.788194	6.22	80.74
38125.798611	6.22	80.74
38125.809028	6.22	80.74
38125.819444	6.22	80.74
38125.829861	6.22	81.27
38125.840278	6.22	81.27
38125.850694	6.22	73.35
38125.861111	6.22	68.08
38125.871528	6.22	79.68
38125.881944	6.22	79.68
38125.892361	6.22	79.68
38125.902778	6.22	79.68
38125.913194	6.03	79.68
38125.923611	6.03	75.99
38125.934028	6.03	79.68
38125.944444	6.03	79.68
38125.954861	6.03	79.68
38125.965278	6.03	79.15
38125.975694	6.03	79.15
38125.986111	6.03	79.15
38125.996528	6.03	79.15
38126.006944	6.03	79.15
38126.017361	6.03	79.15
38126.027778	6.03	78.62
38126.038194	6.03	78.62
38126.048611	6.03	78.62
38126.059028	6.03	78.62
38126.069444	6.03	78.62
38126.079861	6.03	78.62
38126.090278	6.03	75.99
38126.100694	6.03	79.15
38126.111111	6.03	79.15
38126.121528	6.03	78.62
38126.131944	6.03	78.62
38126.142361	6.22	78.63
38126.152778	6.22	78.1
38126.163194	6.22	79.16
38126.173611	6.22	79.16
38126.184028	6.22	79.68
38126.194444	6.22	79.68
38126.204861	6.22	79.68
38126.215278	6.22	79.68
38126.225694	6.22	79.68
38126.236111	6.22	79.68
38126.246528	6.22	79.68
38126.256944	6.22	79.68
38126.267361	6.22	79.68
38126.277778	6.22	79.68
38126.288194	6.22	79.68
38126.298611	6.22	79.68
38126.309028	6.22	79.68
38126.319444	6.22	79.68
38126.329861	6.22	79.68
38126.340278	6.22	80.21
38126.350694	6.22	80.21
38126.361111	6.22	80.21
38126.371528	6.22	80.21
38126.381944	6.22	80.21
38126.392361	6.22	79.68
38126.402778	6.22	79.68
38126.413194	6.22	79.68
38126.423611	6.22	79.68
38126.434028	6.22	79.68
38126.444444	6.03	79.15
38126.454861	6.03	79.15
38126.465278	6.03	79.15
38126.475694	6.03	79.15
38126.486111	6.03	79.15
38126.496528	6.03	79.15
38126.506944	6.03	79.15
38126.517361	6.03	79.15
38126.527778	6.03	79.15
38126.538194	6.03	79.15
38126.548611	6.03	79.15
38126.559028	6.03	79.15
38126.569444	6.03	78.62
38126.579861	6.03	79.15
38126.590278	6.03	79.15
38126.600694	6.03	79.15
38126.611111	6.03	79.15
38126.621528	6.03	79.15
38126.631944	6.03	79.15
38126.642361	6.03	79.15
38126.652778	6.03	79.68
38126.663194	6.03	79.68
38126.673611	6.03	79.68
38126.684028	6.03	79.68
38126.694444	6.03	79.68
38126.704861	6.03	79.68
38126.715278	6.03	80.21
38126.725694	6.03	80.21
38126.736111	6.03	80.21
38126.746528	6.03	80.21
38126.756944	6.03	80.21
38126.767361	6.22	80.21
38126.777778	6.03	80.21
38126.788194	6.03	80.21
38126.798611	6.03	80.21
38126.809028	6.03	80.21
38126.819444	6.03	80.21
38126.829861	6.03	68.07
38126.840278	6.03	60.69
38126.850694	6.03	57
38126.861111	6.03	53.31
38126.871528	6.03	57.53
38126.881944	6.03	53.83
38126.892361	6.03	52.78
38126.902778	6.03	60.69
38126.913194	6.03	55.42
38126.923611	6.03	60.16
38126.934028	6.03	60.69
38126.944444	6.03	67.55
38126.954861	6.03	67.55
38126.965278	6.03	67.55
38126.975694	6.03	67.55
38126.986111	6.03	67.02
38126.996528	6.03	67.02
38127.006944	6.22	67.02
38127.017361	6.22	67.02
38127.027778	6.22	67.02
38127.038194	6.22	67.02
38127.048611	6.22	67.02
38127.059028	6.22	67.02
38127.069444	6.41	67.02
38127.079861	6.41	67.02
38127.090278	6.41	67.02
38127.100694	6.6	67.03
38127.111111	6.6	67.03
38127.121528	6.6	61.22
38127.131944	6.6	60.69
38127.142361	6.79	59.1
38127.152778	6.79	68.61
38127.163194	6.79	68.61
38127.173611	6.79	68.61
38127.184028	6.79	68.61
38127.194444	6.79	68.61
38127.204861	6.98	69.14
38127.215278	6.98	69.14
38127.225694	6.98	69.14
38127.236111	6.98	69.14
38127.246528	6.98	69.14
38127.256944	6.98	69.14
38127.267361	6.98	69.14
38127.277778	6.98	69.14
38127.288194	6.98	69.14
38127.298611	6.98	69.14
38127.309028	6.98	69.14
38127.319444	6.98	69.14
38127.329861	6.98	69.14
38127.340278	6.98	69.14
38127.350694	6.98	69.14
38127.361111	6.98	69.14
38127.371528	6.79	69.14
38127.381944	6.79	69.14
38127.392361	6.79	69.14
38127.402778	6.79	69.14
38127.413194	6.6	69.14
38127.423611	6.6	69.14
38127.434028	6.6	68.61
38127.444444	6.6	68.61
38127.454861	6.6	68.61
38127.465278	6.6	69.14
38127.475694	6.6	68.61
38127.486111	6.6	68.61
38127.496528	6.6	68.61
38127.506944	6.6	68.61
38127.517361	6.6	68.61
38127.527778	6.6	68.08
38127.538194	6.6	68.08
38127.548611	6.41	68.61
38127.559028	6.6	68.08
38127.569444	6.6	68.08
38127.579861	6.6	67.55
38127.590278	6.6	67.55
38127.600694	6.6	67.55
38127.611111	6.6	67.55
38127.621528	6.6	67.55
38127.631944	6.6	67.55
38127.642361	6.6	67.55
38127.652778	6.6	68.08
38127.663194	6.6	67.55
38127.673611	6.6	67.55
38127.684028	6.6	68.08
38127.694444	6.6	68.08
38127.704861	6.6	68.61
38127.715278	6.6	68.08
38127.725694	6.79	68.08
38127.736111	6.79	68.08
38127.746528	6.79	68.08
38127.756944	6.79	68.08
38127.767361	6.79	68.61
38127.777778	6.79	68.61
38127.788194	6.79	68.61
38127.798611	6.79	68.61
38127.809028	6.79	68.61
38127.819444	6.79	68.61
38127.829861	6.79	68.61
38127.840278	6.79	68.61
38127.850694	6.6	58.05
38127.861111	6.6	59.11
38127.871528	6.6	61.22
38127.881944	6.6	59.63
38127.892361	6.6	68.08
38127.902778	6.6	68.08
38127.913194	6.6	68.08
38127.923611	6.6	68.08
38127.934028	6.6	63.86
38127.944444	6.6	68.61
38127.954861	6.6	68.61
38127.965278	6.6	68.61
38127.975694	6.6	68.08
38127.986111	6.41	68.08
38127.996528	6.41	68.08
38128.006944	6.41	68.08
38128.017361	6.41	68.08
38128.027778	6.41	68.08
38128.038194	6.41	68.08
38128.048611	6.41	68.08
38128.059028	6.41	67.55
38128.069444	6.41	67.55
38128.079861	6.41	61.75
38128.090278	6.6	67.55
38128.100694	6.6	59.63
38128.111111	6.6	57.52
38128.121528	6.6	59.63
38128.131944	6.6	54.88
38128.142361	6.6	57.52
38128.152778	6.6	61.22
38128.163194	6.6	70.19
38128.173611	6.6	70.19
38128.184028	6.6	70.19
38128.194444	6.6	70.19
38128.204861	6.79	70.2
38128.215278	6.79	70.2
38128.225694	6.79	70.2
38128.236111	6.79	70.2
38128.246528	6.79	70.2
38128.256944	6.79	70.2
38128.267361	6.79	70.2
38128.277778	6.79	70.2
38128.288194	6.98	70.2
38128.298611	6.79	70.2
38128.309028	6.98	70.2
38128.319444	6.79	70.73
38128.329861	6.79	70.2
38128.340278	6.79	70.73
38128.350694	6.79	70.73
38128.361111	6.79	70.2
38128.371528	6.79	70.73
38128.381944	6.79	70.73
38128.392361	6.79	70.73
38128.402778	6.79	70.73
38128.413194	6.79	70.73
38128.423611	6.79	70.73
38128.434028	6.79	70.2
38128.444444	6.79	70.2
38128.454861	6.79	70.73
38128.465278	6.79	70.2
38128.475694	6.79	70.2
38128.486111	6.79	70.2
38128.496528	6.6	70.19
38128.506944	6.6	70.19
38128.517361	6.6	70.19
38128.527778	6.6	70.19
38128.538194	6.6	70.19
38128.548611	6.6	70.19
38128.559028	6.6	70.19
38128.569444	6.6	70.19
38128.579861	6.6	70.19
38128.590278	6.6	70.19
38128.600694	6.6	69.67
38128.611111	6.6	70.19
38128.621528	6.6	70.19
38128.631944	6.6	70.19
38128.642361	6.6	70.19
38128.652778	6.6	70.19
38128.663194	6.6	70.19
38128.673611	6.6	70.19
38128.684028	6.6	70.19
38128.694444	6.6	70.19
38128.704861	6.6	70.19
38128.715278	6.6	70.19
38128.725694	6.6	70.19
38128.736111	6.6	70.19
38128.746528	6.6	70.19
38128.756944	6.6	70.72
38128.767361	6.6	70.19
38128.777778	6.6	70.19
38128.788194	6.6	70.19
38128.798611	6.6	70.19
38128.809028	6.6	70.72
38128.819444	6.6	70.72
38128.829861	6.6	70.72
38128.840278	6.6	53.3
38128.850694	6.6	51.19
38128.861111	6.6	57.52
38128.871528	6.6	51.19
38128.881944	6.6	54.88
38128.892361	6.6	62.8
38128.902778	6.6	63.86
38128.913194	6.6	70.72
38128.923611	6.6	71.25
38128.934028	6.6	71.25
38128.944444	6.6	71.25
38128.954861	6.6	71.25
38128.965278	6.6	71.25
38128.975694	6.6	71.25
38128.986111	6.6	70.72
38128.996528	6.6	70.72
38129.006944	6.6	70.72
38129.017361	6.41	70.72
38129.027778	6.41	70.72
38129.038194	6.41	70.72
38129.048611	6.41	70.72
38129.059028	6.41	70.72
38129.069444	6.41	70.19
38129.079861	6.41	70.19
38129.090278	6.41	70.19
38129.100694	6.41	70.19
38129.111111	6.41	60.16
38129.121528	6.41	59.63
38129.131944	6.41	57.52
38129.142361	6.41	58.58
38129.152778	6.41	61.75
38129.163194	6.41	70.19
38129.173611	6.6	70.19
38129.184028	6.6	70.19
38129.194444	6.6	70.19
38129.204861	6.6	70.19
38129.215278	6.79	70.2
